match,sentence,ref,node,keep
"prìxtɛla,ˈ ","mára prìxtɛla,ˈ nubáltəlle l-d-ɛ̀-dukθa.ˈ ","Barwar, The King With Forty Sons, Ln. 32",761013,
"prìxɛle,ˈ ","ʾax-ṱ-íle plíṭa ʾo-simárxa prìxɛle,ˈ zìla.ˈ ","Barwar, Tales From the 1001 Nights, Ln. 69",752477,N
prìšɛla ,yáʿni rába xá-mdi prìšɛla júllux gu-d-ánna diyɛ́ni.ˈ ,"Barwar, Nanno and Jəndo, Ln. 10",749635,
prímɛle ,"ʾɛ̀bɛle,ˈ ṱ-àmra,ˈ tré-tre táwre prímɛle bàbiˈ lá muθéle sàmi.ˈ ","Barwar, The Crafty Hireling, Ln. 29",755953,
príxtɛla ,"ʾu-Bə́lbəl Hazàrˈ príxtɛla m-tàma,ˈ gu-d-o-gə́ppa plìṭṭɛla.ˈ ","Barwar, Gozali and Nozali, Ln. 76",747595,
pyàšɛleˈ ,qímle muθéle banàyeˈ bnéle gúdə Dəmdə̀maˈ ʾáp-diya pyàšɛleˈ ʾo-gùda.ˈ ,"Barwar, Dəmdəma, Ln. 13",744398,N
pyáðɛla ,pyáðɛla ʾàskar.ˈ ,"Barwar, The Fox and the Miller, Ln. 23",758571,N
pyášɛla ,ʾu-hal-hadíya pyášɛla ʾɛ-dùkθa.ˈ ,"Barwar, The Tale of Mămo and Zine, Ln. 91",773005,N
pyášɛla.ˈ ,"mə́re ʾarbà-yarxe,ˈ xamšà-yarxe pyášɛla.ˈ ","Barwar, The Crafty Hireling, Ln. 37",756122,N
pyášɛle ,"ʾo-yála pyášɛle naṭòra d-áni,ˈ ḥàrəs.ˈ ","Barwar, The King With Forty Sons, Ln. 4",760042,N
pyášɛle ,pyášɛle xámši xène.ˈ ,"Barwar, The Tale of Parizada, Warda and Nargis, Ln. 23",775119,N
pìšɛle ,"pìšɛle táma,ˈ xá-yoma tre-ʾu-ṭḷàθa,ˈ xa-bènaˈ ʾíθwa ða-bə́rkət mìyaˈ qam-tắrət bɛ̀θa.ˈ ","Barwar, Tales From the 1001 Nights, Ln. 77",752702,
pìšɛle ,tắra č̣ə́mtəlle báre dìye-wˈ ʾáw pìšɛle táma.ˈ,"Barwar, The Sale of an Ox, Ln. 27",766552,
"pìšɛle,ˈ ","ʾáw pìšɛle,ˈ xìləlle ʾo-ʾixála ṱ-íle kə̀sle.ˈ ","Barwar, The Man Who Wanted to Work, Ln. 5",763509,
pìšɛleˈ ,"pìšɛleˈ kízle mparpóle bìye:ˈ nàša,ˈ ʾánna xonăwàθila,ˈ ʾáxxa l-tàmma.ˈ ","Barwar, The King With Forty Sons, Ln. 10",760267,
pìšɛleˈ ,"pìšɛleˈ xolámət màlka,ˈ maštóye susăwáθa mìya.ˈ ","Barwar, The King With Forty Sons, Ln. 57",761933,
pìšɛleˈ ,"qìmɛleˈ ṣə́lya pìšɛleˈ gu-gòma,ˈ knáša ʾu-mšàya,ˈ tagbóre susăwàθa.","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 29",775346,
píðɛle ,píðɛle hòdəx.ˈ ,"Barwar, Measure for Measure, Ln. 4",749287,
píštɛla ,píštɛla ʾaṣə̀rta.ˈ ,"Barwar, A Man Called Čuxo, Ln. 21",740747,
píštɛla ,"kúlla mðíta mə́xyəlla ṣŭ̀buġ,ˈ píštɛla xwàrta,ˈ max-qamàye.ˈ ","Barwar, A Tale of a Prince and a Princess, Ln. 34",742417,
píštɛla ,"píštɛla bxàya,ˈ ʾu-bxàya,ˈ ʾu-bxàya,ˈ xà-yoma-wˈ trè-uˈ xa-yàrxa-wˈ xá-bena ʾan-tre-maláxe t-wɛ́wa ʾə́θye bìya,ˈ t-wɛ́wa mutə́pqəlla b-ġðàðe,ˈ θéla pyáða táma tàma.ˈ ","Barwar, A Tale of a Prince and a Princess, Ln. 44",742690,
píštɛla ,"ʾaw-dmìxɛle,ˈ píštɛla mtanóye ða-qə̀ṣṣətˈ ṭla-qàṭu.ˈ ","Barwar, Tales From the 1001 Nights, Ln. 2",750467,
píštɛla ,ʾáyya məškə́nta píštɛla mxàyaˈ dráya qə́ṭma gu-réša dìya.ˈ ,"Barwar, Tales From the 1001 Nights, Ln. 22",751019,
píštɛla ,píštɛla mə́nne díye kə́ma dàna.ˈ ,"Barwar, Tales From the 1001 Nights, Ln. 87",752987,
píštɛla ,kúlle zqìrəlle-wˈ píštɛla hádəx də́bba gàwe.ˈ ,"Barwar, The Bear and the Fox, Ln. 4",754131,
píštɛla ,píštɛla tàma.ˈ ,"Barwar, The Daughter of the King, Ln. 7",756844,
píštɛla ,píštɛla hàdəx.ˈ ,"Barwar, The Daughter of the King, Ln. 10",756912,
píštɛla ,"wìrtɛla,ˈ píštɛla xà-yarxa táma.ˈ ","Barwar, The Tale of Mərza Pămət, Ln. 23",773563,
píštɛla ,díṛtɛla píštɛla hàdəx.ˈ ,"Barwar, The Tale of Parizada, Warda and Nargis, Ln. 53",776306,
píštɛla ,píštɛla lɛ̀le.ˈ ,"Barwar, The Tale of Parizada, Warda and Nargis, Ln. 54",776336,
píšɛle ,"ʾu-ṣə̀lyɛle,ˈ ṣə̀lyɛle,ˈ ṣə̀lyɛle,ˈ píšɛle ʾárxa t-xa-šḗx ʾarabáya gu-xa-bɛrìyya.ˈ ","Barwar, A Man Called Čuxo, Ln. 6",740283,
píšɛle ,ʾáp-awwa sìqɛle gu-ṭúraˈ mən-xuráne díye píšɛle gu-ṭúra xá-yoma yóme trè.ˈ ,"Barwar, A Tale of a Prince and a Princess, Ln. 2",741453,
píšɛle ,"píšɛle mən-màlka,ˈ mə́re málka ṱ-áwət basìma,ˈ zíla xákma dàna,ˈ bắyən ṭálbən xa-máṭlab mə̀nnux.ˈ ","Barwar, Dəmdəma, Ln. 10",744295,
píšɛle ,hèˈ xèna-wˈ píšɛle xo-ʾámr al-wàqəʿˈ mo-ṱ-àwəð?ˈ ,"Barwar, Gozali and Nozali, Ln. 96",748387,
píšɛle ,"tìwɛle ʾáp-ʾaw məskèna,ˈ píšɛle ràḥat.ˈ ","Barwar, Tales From the 1001 Nights, Ln. 32",751368,
píšɛle ,"píšɛle ða-šábθa xèta,ˈ ʾámər ṭla-báxta sa-mɛ́θala quṣártət šwàwe.ˈ ","Barwar, The Cooking Pot, Ln. 8",755139,
píšɛle ,"wídla ʾixála ʾáy b-gànaˈ ʾu-b-pəlxána b-gána zála-w θáya gu-bɛ̀θa,ˈ bɛ́θa píšɛle bíya dìya.ˈ ","Barwar, The Daughter of the King, Ln. 40",757779,
píšɛle ,"píšɛle lɛ̀le,ˈ tmánya yóme prìqela.ˈ ","Barwar, The Fox and the Miller, Ln. 13",758313,
píšɛle ,"zìnɛle,ˈ píšɛle nàša.ˈ ","Barwar, The Girl and the Seven Brothers, Ln. 23",759674,
píšɛle ,píšɛle pálge nàšaˈ ʾu-pálge pàṛa.ˈ ,"Barwar, The Girl and the Seven Brothers, Ln. 24",759697,
píšɛle ,píšɛle táma kəmà-dana.ˈ ,"Barwar, The King With Forty Sons, Ln. 53",761827,
píšɛle ,"mára ʾáp-ʾaw qímɛle zìlɛle,ˈ píšɛle xuláma t-màlka.ˈ ","Barwar, The King With Forty Sons, Ln. 57",761927,
píšɛle ,"xíləlla kùlla kθɛ́θa,ˈ píšɛle gɛ̀rme.ˈ ","Barwar, The Priest and the Mullah, Ln. 5",765647,
píšɛle ,píšɛle tə̀rte.ˈ ,"Barwar, The Sale of an Ox, Ln. 9",766025,
píšɛle ,qímɛle píšɛle màjburˈ Mắmo dìṛɛle.ˈ ,"Barwar, The Tale of Mămo and Zine, Ln. 38",771378,
píšɛle ,píšɛle màjbur.ˈ ,"Barwar, The Tale of Mərza Pămət, Ln. 36",773886,
píšɛle ,píšɛle màjburˈ hà-ṱ-ileˈ ríxa ʾə́θya mə́nne díye spìsa.ˈ ,"Barwar, The Tale of Mərza Pămət, Ln. 43",774065,
píšɛle ,ʾáp-ʾaw píšɛle tàma.ˈ ,"Barwar, The Tale of Parizada, Warda and Nargis, Ln. 7",774664,
píšɛle ,píšɛle ʾo-zòra.ˈ ,"Barwar, The Tale of Parizada, Warda and Nargis, Ln. 7",774666,
píšɛle ,píšɛle ʾárxa kəs-xa-báxta sáwta ṱòṱo.ˈ ,"Barwar, The Tale of Parizada, Warda and Nargis, Ln. 37",775623,
píšɛle ,mára píšɛle ʾə́šta šáwwa yománe tàma.ˈ ,"Barwar, The Tale of Parizada, Warda and Nargis, Ln. 49",776115,
píšɛle ,"qímtɛla ʾàp-ʾayˈ mxíθɛla ʾə́lle dìye,ˈ ʾáp-ʾaw píšɛle dawɛ̀ra,ˈ ʾu-tíwtɛla l-xáṣe dìye.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 53",776314,
píšɛle ,píšɛle májbur ṣə̀lyɛle.ˈ ,"Barwar, The Tale of Rustam (1), Ln. 33",777391,
píšɛle ,"qìmɛleˈ ʾu-dwìqɛle-w,ˈ šwìqɛle-w,ˈ yíwəlle daṛmàne-w,ˈ mbùsməlle,ˈ píšɛle xɛlàna.ˈ ","Barwar, The Tale of Rustam (1), Ln. 35",777433,
píšɛle ,píšɛle xà-yarxaˈ málka xzéle xa-xə́lma xèna.ˈ ,"Barwar, The Wise Snake, Ln. 9",779774,
pč̣ìlɛle.ˈ ,"ʾə́θyɛle l-bɛ̀θa,ˈ wírɛle gu-bɛ́θa xə̀zyəlle,ˈ ʾàmərˈ ʾáwwa tărɛ́xu pč̣ìlɛle.ˈ ","Barwar, The Wise Young Man, Ln. 20",780931,
pšìqtɛlaˈ ,pšìqtɛlaˈ mìθtɛla.ˈ ,"Barwar, The Crafty Hireling, Ln. 37",756140,
"pθìxtɛla,ˈ ","ʾɛ́ne pθìxtɛla,ˈ bas-ṭlìya hóle.ˈ ","Barwar, The Giant’s Cave, Ln. 6",759055,
pθìxɛle ,"ṣə̀lyɛleˈ ʾáwwa ʾažvànaˈ — ʾáw-t mtágbər ʾə̀rxeˈ y-amríle ʾažvàna.ˈ — ʾàwwaˈ pθìxɛle tắra,ˈ xáze ʾə́rxe klèla.ˈ ","Barwar, The Sale of an Ox, Ln. 42",766995,
pθíxtɛla ,"ʾímət mítla ṭḷaθnèy,ˈ qímtɛla pθíxtɛla tằraˈ ʾína lɛ́la šmáya qálət ʾùp-xa.ˈ ","Barwar, The Sale of an Ox, Ln. 35",766807,
qa-t-ʾàyyɛla ,"bár ṱ-ila-ðíta qa-t-ʾàyyɛla θíθa kəsle-dìye,ˈ muxə́bla ġðàðe.ˈ ","Barwar, A Tale of a Prince and a Princess, Ln. 4",741539,
qam-xa-šàbθɛle ,hóle xzáyəlle ʾo-xaráya xàθaˈ bálki qam-xa-šàbθɛle ʾə́θya.ˈ ,"Barwar, Gozali and Nozali, Ln. 56",746784,
qaṭòlɛle.ˈ ,"genàwɛle ʾáw,ˈ qaṭòlɛle.ˈ ","Barwar, The Man Who Wanted to Work, Ln. 27",764118,N
qbìlɛle ,"šawwí-zəvre zvìrtəlla,ˈ sáwən Tòmaˈ šawwí-qəble qbìlɛle ha-ṱ-ila-klíθa dudìya.ˈ ","Barwar, The Battle With Yuwanəs the Armenian, Ln. 2",753473,
qlíbɛle ,"qlíbɛle màlka,ˈ ʾə́θya zína qám Bə́lbəl Hazàr.ˈ ","Barwar, Gozali and Nozali, Ln. 93",748243,
qrìbɛle.ˈ ,"zìlɛleˈ mə́ṭyɛle xo-xa-dalíθa xèta,ˈ qrìbɛle.ˈ ","Barwar, Qaṭina Rescues His Nephew From Leliθa, Ln. 10",750154,
qrìθɛla:ˈ ,qrìθɛla:ˈ ʾó Bə́lbəl Hazàr!ˈ ,"Barwar, Gozali and Nozali, Ln. 72",747435,
qrìθɛla:ˈ ,qrìθɛla:ˈ ʾó Bə́lbəl Hazàr!ˈ ,"Barwar, Gozali and Nozali, Ln. 74",747494,
qríθɛla ,qríθɛla hó Bə́lbəl Hazàr!ˈ ,"Barwar, Gozali and Nozali, Ln. 76",747589,
qríθɛla ,ʾá-dana qríθɛla b-xaθwáθa dìya.ˈ ,"Barwar, The King With Forty Sons, Ln. 68",762355,
qríθɛla ,"qríθɛla qála b-Šáləm ʾu-Sùrma,ˈ ču-jwába la-yìwəllɛla.ˈ ","Barwar, The Tale of Mămo and Zine, Ln. 5",770495,
"qyàmɛla,ˈ ","mbàdla,ˈ qyàmɛla,ˈ kúlla bắyi ṱ-àzi,ˈ ʾáwwɛle dmìxa Barzə́kko.ˈ ","Barwar, The King With Forty Sons, Ln. 8",760200,N
"qyàmɛle,ˈ ","qyàmɛle,ˈ lɛ̀le mheymóne.ˈ ","Barwar, A Tale of Two Kings, Ln. 6",741051,N
qyàmɛleˈ ,"qyàmɛleˈ mbaqòrɛle,ˈ zála mára ʾiθ-xa-nàšaˈ ʾítle ʾárbi bnàθa.ˈ ","Barwar, The King With Forty Sons, Ln. 2",759946,N
qyàmɛleˈ ,ʾáp-ʾaw qyàmɛleˈ táwa xáṣət súse dìye-wˈ ṣlàya.ˈ ,"Barwar, The King With Forty Sons, Ln. 30",760943,N
qyámɛla ,"qyámɛla zàla,ˈ zála mṭàyɛla,ˈ yóma gnàyɛle,ˈ dmáxɛla gu-xa-màrga,ˈ dawàrela,ˈ məndiyànela,ˈ ʾu-ʾíθə ʾɛ́nət mìya táma.ˈ ","Barwar, The King With Forty Sons, Ln. 4",760016,N
qzídɛle ,"mṭíθɛla tàma,ˈ qzídɛle ʾə́lla díya ṱ-axəlwàla.ˈ ","Barwar, The Lion King, Ln. 3",762746,
qàlɛle.ˈ ,"bréla hàwərila,ˈ hàwərila,ˈ qàlɛle.ˈ ","Barwar, The Tale of Mămo and Zine, Ln. 54",771906,N
"qàmxɛle,ˈ ","ʾiθáθa qàmxɛle,ˈ pθìxtəllela tắra.ˈ ","Barwar, The Daughter of the King, Ln. 26",757386,N
qàrθɛla?ˈ ,ʾámər ma-lat-ðáya b-gánəx qàrθɛla?ˈ ,"Barwar, The Bear and the Fox, Ln. 1",754073,N
"qèdamtɛla,ˈ ","qèdamtɛla,ˈ wíðtəlle ʾixàlaˈ béʾe-w mə́šxa-w qàlya,ˈ mə̀raˈ — šə́mme díye ʾÙmmo-wewaˈ — mə́ra ʾÙmmo,ˈ ʾána qɛ́mən ʾázən náblən ʾixàlaˈ ṭla-xə̀tnuxˈ ʾu-ʾáti xùlˈ ʾu-sí l-be-xàlux.ˈ ","Barwar, The Man Who Wanted to Work, Ln. 4",763480,N
"qìmtɛla,ˈ ","yaʿni fṭìrɛle yála-wˈ qìmɛleˈ zíla l-šùla,ˈ yə́mma mtugbàrtəlle,ˈ zíla l-šùla,ˈ qìmtɛla,ˈ mxulálta ʾamàneˈ ʾu-kníšta bɛ̀θaˈ ʾu-mtugbàrta.ˈ ","Barwar, The Daughter of the King, Ln. 20",757226,
"qìmtɛla,ˈ ","qìmtɛla,ˈ qèdamtaˈ lɛ́la mírta ṭla-xmáθa-w xəmyána-w ʾáxxa-w tàmma.ˈ ","Barwar, The Leliθa From č̭āl, Ln. 7",762620,
"qìmtɛla,ˈ ","mára qìmtɛla,ˈ har-ʾó-yomə ṱ-íla brìθa,ˈ də́ryəlla gu-dudìya,ˈ dargùšta,ˈ ʾu-ṣlìθɛla,ˈ ṣlíθa, ṣlíθa, ṣlìθa,ˈ muttɛ́θəlle púmma gu-pùmmətˈ Fàrxo,ˈ šuréla myàṣaˈ ʾɛ̀-danɛla kə́lye.ˈ ","Barwar, The Tale of Farxo and Səttiya, Ln. 5",767984,
"qìmtɛla,ˈ ","qìmtɛla,ˈ šqìltəlla,ˈ nubàltəllaˈ hédi, hédi, hédi, ta-t-xɛpàla.ˈ ","Barwar, The Tale of Mərza Pămət, Ln. 25",773610,
"qìmtɛla,ˈ ","qìmtɛla,ˈ príxta θìθɛlaˈ báθər rìxa.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 30",775358,
"qìmtɛla,ˈ ","qìmtɛla,ˈ yíwtəlle xáčča mìya.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 37",775634,
"qìmtɛla,ˈ ","qìmtɛla,ˈ šqílta xa-nerìya,ˈ neríya gòṛa.ˈ ","Barwar, The Tale of Rustam (1), Ln. 26",777164,
"qìmtɛla,ˈ ","qìmtɛla,ˈ šlìqtaˈ bèʾe,ˈ šàwwa béʾe.ˈ ","Barwar, The Wise Young Man, Ln. 11",780658,
qìmtɛlaˈ ,ʾáyya-ži qìmtɛlaˈ šə́ryəlla ʾáqle w-ìðeˈ ʾu-ṣə́lya l-bɛ̀θɛle.ˈ ,"Barwar, I Am Worth the Same as a Blind Wolf, Ln. 13",748942,
qìmtɛlaˈ ,"qìmtɛlaˈ ʾítwala ða-qàṭu,ˈ nubàltəlla mə́nna díya.ˈ ","Barwar, Tales From the 1001 Nights, Ln. 2",750454,
qìmtɛlaˈ ,b-lɛ́le qìmtɛlaˈ štíθa mìyaˈ ʾu-xíltəlla ʾo-ʾixàla.ˈ ,"Barwar, The Daughter of the King, Ln. 18",757193,
qìmtɛlaˈ ,"qìmtɛlaˈ wíðtəlle ʾixàla,ˈ bèʾe.ˈ ","Barwar, The Man Who Wanted to Work, Ln. 4",763476,
qìmtɛlaˈ ,qìmtɛlaˈ híwtəlle xa-ṭásət mìyaˈ ʾu-šə̀tyɛle.ˈ ,"Barwar, The Tale of Mămo and Zine, Ln. 42",771512,
qìmtɛlaˈ ,qìmtɛlaˈ sìqtɛlaˈ mə́ra ṭla-xóna dìyaˈ mə́ra xòniˈ hóle zála lə̀bbiˈ ṱ-ásqət ṣɛ́dət ʾə́rbət wàla.ˈ ,"Barwar, The Tale of Mămo and Zine, Ln. 44",771577,
qìmtɛlaˈ ,qìmtɛlaˈ ʾáy blìgtɛla-wˈ mára ṭla-d-án xaddamyáθa díya ʾárbi bnàθaˈ mtagbóre gàna.ˈ ,"Barwar, The Tale of Mămo and Zine, Ln. 78",772611,
qìmɛle ,hadíya qìmɛle Rustắmoˈ síqa l-tắrət gə̀ppa.ˈ ,"Barwar, The Tale of Rustam (2), Ln. 25",778143,
"qìmɛle,ˈ ","qìmɛle,ˈ mə̀ð̣yaˈ ʾu-wíða tawqī́ʿ ʾu-kúl məndì,ˈ qá-t ʾáyya leš-dáre bas-dìyaˈ ʾu-lítle šùla-wˈ ʾánna pɛ́ši ʾax-bnóne díye gu-bɛ̀θa.ˈ ","Barwar, Gozali and Nozali, Ln. 97",748409,
"qìmɛle,ˈ ","qìmɛle,ˈ xà-ga xéta zílɛle.ˈ ","Barwar, Qaṭina Rescues His Nephew From Leliθa, Ln. 10",750146,
"qìmɛle,ˈ ","qìmɛle,ˈ m-táma hódəx qímɛle zílɛle l-tắrət gə̀ppa.ˈ ","Barwar, Qaṭina Rescues His Nephew From Leliθa, Ln. 20",750307,
"qìmɛle,ˈ ","qìmɛle,ˈ xθìməlle.ˈ ","Barwar, The Bear and the Fox, Ln. 4",754127,
"qìmɛle,ˈ ","m-lɛ́le qìmɛle,ˈ ʾo-xuláme dìyeˈ táwre mpúlṭəlla-w nùbləllaˈ ʾu-tullə́kθa mənne-dìye,ˈ ʾu-bzára mənne-dìye,ˈ ʾu-màsta-wˈ zeðàye,ˈ zílɛle ta-t-zắre.ˈ ","Barwar, The Crafty Hireling, Ln. 7",755370,
"qìmɛle,ˈ ","qìmɛle,ˈ šə́mmət máθa díye wéwa Barwòre.ˈ ","Barwar, The Man Who Wanted to Work, Ln. 1",763397,
"qìmɛle,ˈ ","qìmɛle,ˈ zìlaˈ mtugə̀brəlla,ˈ háde m-hàde-wˈ wíðəlla ʾày-uˈ ʾu-tắra č̣íməlle ta-t-lá-ʾawər ʾáp-xa náša gàwa.ˈ","Barwar, The Man Who Wanted to Work, Ln. 24",764016,
"qìmɛle,ˈ ","mára qìmɛle,ˈ báθər hàdəx,ˈ θéle sìqleˈ kəs-Dáwið k̭óra ʾó ràbbən.ˈ ","Barwar, The Monk Who Wanted to Know When He Would Die, Ln. 9",764716,
"qìmɛle,ˈ ","qìmɛle,ˈ šqìləlle yála.ˈ ","Barwar, The Tale of Farxo and Səttiya, Ln. 8",768071,
"qìmɛle,ˈ ","qìmɛle,ˈ qə́rya qa-bnáθe dìyeˈ mə́re leðítu ʾɛ́kɛle Fàrxo?ˈ ","Barwar, The Tale of Farxo and Səttiya, Ln. 71",769810,
"qìmɛle,ˈ ","qìmɛle,ˈ múθyɛle ʾáskar xɛlàntaˈ xamšá-mma bnàθaˈ kúlla lwíše júllət ʾùrzeˈ ʾu-ḍubbā̀ṭila,ˈ kúlla b-ʾaskăràyela.ˈ ","Barwar, The Tale of Farxo and Səttiya, Ln. 76",769951,
"qìmɛle,ˈ ","Mắmo ṛìšɛleˈ qìmɛle,ˈ ʾína max-šeðàna.ˈ ","Barwar, The Tale of Mămo and Zine, Ln. 9",770596,
"qìmɛle,ˈ ","qìmɛle,ˈ bènaˈ bábət Mắmo gòṛa-wewa,ˈ šḕx-wewa.ˈ ","Barwar, The Tale of Mămo and Zine, Ln. 13",770711,
"qìmɛle,ˈ ","qìmɛle,ˈ mə́re ṭla-d-an-nàše,ˈ moθéle swaríye ṭla-ʾə̀mmaˈ swarìye.ˈ ","Barwar, The Tale of Mămo and Zine, Ln. 13",770717,
"qìmɛle,ˈ ","qìmɛle,ˈ dìṛɛle,ˈ zílɛle ʾo-xóne díye t-pàləxˈ ṛìya,ˈ šăvàna.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 22",775070,
"qìmɛle,ˈ ","mára qìmɛle,ˈ xóna díya dmìxɛle.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 25",775197,
"qìmɛle,ˈ ","mára qìmɛle,ˈ šwìqəlle hádəx.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 27",775244,
"qìmɛle,ˈ ","qìmɛle,ˈ mjŭ̀məlla-wˈ mùqðəlla.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 28",775301,
"qìmɛle,ˈ ","qìmɛle,ˈ sìqɛle.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 32",775442,
"qìmɛle,ˈ ","mára qìmɛle,ˈ zìlɛle.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 36",775599,
"qìmɛle,ˈ ","mára qìmɛle,ˈ yíwɛle xábra ʾə́lle dìye.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 45",775944,
"qìmɛle,ˈ ","qìmɛle,ˈ zìlɛle.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 49",776120,
"qìmɛle,ˈ ","mára qìmɛle,ˈ ʾən-réšət bábe díye ʾax-ṭùra,ˈ ʾu-hóle qṭíla l-Tătár-i Slemán-i Sə̀ndi,ˈ lɛ̀ka bṱ-ázəl?ˈ ","Barwar, The Tale of Rustam (1), Ln. 8",776696,
"qìmɛle,ˈ ","ʾímət píšle brìndar Rústam,ˈ qìmɛle,ˈ mšùdrəlle,ˈ lítle daṛmàne.ˈ ","Barwar, The Tale of Rustam (1), Ln. 28",777233,
"qìmɛle,ˈ ","qìmɛle,ˈ θíθɛla brátət Tắtar-i Slemán-i Sə̀ndi,ˈ θéla mən-Bèjəm,ˈ qəm-šaqə́lla mɛθèla.ˈ ","Barwar, The Tale of Rustam (1), Ln. 37",777485,
"qìmɛle,ˈ ","Rustắmo kríbɛle ràba-wˈ qìmɛle,ˈ plìṭɛle.ˈ ","Barwar, The Tale of Rustam (2), Ln. 12",777813,
"qìmɛle,ˈ ","qìmɛle,ˈ múttəlla xāṣ-sùsa,ˈ ʾu-mupə́šṭəlla ʾan-nàšeˈ ʾu-ṭlíbela xáṭər mənnèy,ˈ ʾu-zìlɛle.ˈ ","Barwar, The Tale of Rustam (2), Ln. 66",779119,
"qìmɛle,ˈ ","mára qìmɛle,ˈ wírɛle gu-bɛ̀θa,ˈ bráte díye mə́ra há bàbi,ˈ dàx-wawa ʾúrxux?ˈ ","Barwar, The Wise Young Man, Ln. 6",780521,
qìmɛle.ˈ ,ʾáni plìṭela-wˈ ʾáw qìmɛle.ˈ ,"Barwar, A Tale of a Prince and a Princess, Ln. 50",742882,
qìmɛle.ˈ ,"hadìya,ˈ qìmɛle.ˈ ","Barwar, A Tale of a Prince and a Princess, Ln. 55",743020,
qìmɛle.ˈ ,mbádla qìmɛle.ˈ ,"Barwar, Tales From the 1001 Nights, Ln. 66",752379,
qìmɛle.ˈ ,ʾáwwa b-lɛ́le qìmɛle.ˈ ,"Barwar, The Crafty Hireling, Ln. 53",756505,
qìmɛle.ˈ ,yómət trèˈ qìmɛle.ˈ ,"Barwar, The Daughter of the King, Ln. 14",757046,
qìmɛle.ˈ ,mára qìmɛle.ˈ ,"Barwar, The Daughter of the King, Ln. 33",757568,
qìmɛle.ˈ ,qìmɛle.ˈ ,"Barwar, The Tale of Parizada, Warda and Nargis, Ln. 19",774976,
qìmɛle.ˈ ,mára mŭṛàštəlleˈ qìmɛle.ˈ ,"Barwar, The Tale of Rustam (1), Ln. 19",776997,
qìmɛleˈ ,qìmɛleˈ ʾáwwa zìlaˈ zmíra zmíra zmíra hal-mbàdla.ˈ ,"Barwar, A Man Called Čuxo, Ln. 10",740436,
qìmɛleˈ ,qìmɛleˈ wíða b-xabre dìye.ˈ ,"Barwar, Gozali and Nozali, Ln. 51",746596,
qìmɛleˈ ,"qìmɛleˈ híwəlla kθɛ́θa ṭla-d-ày,ˈ ʾáy qəm-yawála ṭla-bába dìyaˈ ʾu-zìlɛle.ˈ ","Barwar, Man Is Treacherous, Ln. 8",749177,
qìmɛleˈ ,"qìmɛleˈ zìlɛleˈ xzígən ʾalahùθa,ˈ ʾáxxa-w tàmma.ˈ ","Barwar, Qaṭina Rescues His Nephew From Leliθa, Ln. 21",750340,
qìmɛleˈ ,qìmɛleˈ Qaṭína qəm-paθə́xle tằraˈ ṭla-xwarzáye dìyeˈ núbləlle hàtxa képa-wˈ mpúlṭɛlele Xuldə́kko m-gu-d-o-lìna.ˈ ,"Barwar, Qaṭina Rescues His Nephew From Leliθa, Ln. 21",750346,
qìmɛleˈ ,qìmɛleˈ Qaṭìna.ˈ ,"Barwar, The Battle With Yuwanəs the Armenian, Ln. 5",753526,
qìmɛleˈ ,qìmɛleˈ ʾína ʾay-bráte díye mìθta.ˈ ,"Barwar, The Crafty Hireling, Ln. 38",756142,
qìmɛleˈ ,"yaʿni fṭìrɛle yála-wˈ qìmɛleˈ zíla l-šùla,ˈ yə́mma mtugbàrtəlle,ˈ zíla l-šùla,ˈ qìmtɛla,ˈ mxulálta ʾamàneˈ ʾu-kníšta bɛ̀θaˈ ʾu-mtugbàrta.ˈ ","Barwar, The Daughter of the King, Ln. 20",757219,
qìmɛleˈ ,mbádla qìmɛleˈ ʾo-yàla.ˈ ,"Barwar, The King With Forty Sons, Ln. 69",762379,
qìmɛleˈ ,"qìmɛleˈ muqábəl bɛ́θe dìyeˈ xákma qɛ̀se,ˈ məndiyàne,ˈ də́ryɛle táma nùra bíya.ˈ ","Barwar, The Man Who Cried Wolf, Ln. 2",763229,
qìmɛleˈ ,"qìmɛleˈ báθər ṱ-íle príqa mən-ʾixàla,ˈ qìmɛleˈ šqíla xa-ʾárba xamšà béʾe.ˈ ","Barwar, The Man Who Wanted to Work, Ln. 6",763529,
qìmɛleˈ ,"qìmɛleˈ báθər ṱ-íle príqa mən-ʾixàla,ˈ qìmɛleˈ šqíla xa-ʾárba xamšà béʾe.ˈ ","Barwar, The Man Who Wanted to Work, Ln. 6",763534,
qìmɛleˈ ,ʾáwwa qìmɛleˈ músqəllɛle ʾan-xmáre l-ṭùra.ˈ ,"Barwar, The Man Who Wanted to Work, Ln. 12",763721,
